,facility_name,facility_gps_lat,facility_gps_lon,region_province,district,chiefdom,facility_location,facility_type_other,managing_authority_other,outpatient_only,capacity.number_consultation_rooms,capacity.number_inpatient_beds,capacity.number_maternity_beds,cho_number_in_post,cho_number_present_at_visit,cht_number_in_post,cht_number_present_at_visit,cha_number_in_post,cha_number_present_at_visit,cm_number_in_post,cm_number_present_at_visit,sechn_number_in_post,sechn_number_present_at_visit,lab_tech_number_in_post,lab_tech_number_present_at_visit,mch_aides_number_in_post,mch_aides_number_present_at_visit,cleaner_porter_number_in_post,cleaner_porter_number_present_at_visit,other_number_in_post,other_number_present_at_visit,other_staff_cadre,sections_to_review,consultations.head_count.month_1,consultations.head_count.month_2,consultations.head_count.month_3,consultations.head_count.month_4,consultations.general_outpatient.month_1,consultations.general_outpatient.month_2,consultations.general_outpatient.month_3,consultations.general_outpatient.month_4,consultations.deliveries.month_1,consultations.deliveries.month_2,consultations.deliveries.month_3,consultations.deliveries.month_4,consultations.pent_vaccines.month_1,consultations.pent_vaccines.month_2,consultations.pent_vaccines.month_3,consultations.pent_vaccines.month_4,hr_focal_point,hr_staff_received_info,hr_healthcare_provider_training,hr_healthcare_provider_revised_training,hr_daily_staff_list,iec_handwashing_procedure,iec_physical_distancing,iec_covering_nose_mouth,iec_early_symptom_recognition,iec_when_facility_vs_home,iec_rational_ppe_use,iec_helpline_number,surv_procedure_for_notification,surv_official_case_definition,surv_hotline_number,surv_timely_data_reported_to_district,ter_screening_area_set_up,ter_symptom_screening_questionnaires,ter_temperature_measurement_at_triage,ter_physical_distancing_in_waiting,ter_separate_waiting_for_symptomatic,chw_trained_precautions,chw_trained_community_service,chw_drugs,chw_gloves,chw_masks,chw_iec_materials,iso_designated_isolation_for_suspected,iso_distance_between_patients_in_waiting,iso_distance_between_patient_beds,iso_transfer_referral_protocol,ipc_ppe_medical_masks,ipc_ppe_disp_surgical_masks,ipc_ppe_eye_protection,ipc_ppe_examination_gloves,ipc_ppe_surgical_gloves,ipc_ppe_long_cuffed_gloves,ipc_ppe_heavy_duty_gloves,ipc_ppe_long_sleeved_gown,ipc_ppe_waterproof_aprons,ipc_ppe_plan_staff_trained_on_ppe,ipc_ppe_plan_ppe_poster_displayed,ipc_ppe_plan_fit_test_kit,ipc_ppe_plan_contingency_for_shortages,ipc_wcd_colour_coded_bins,ipc_wcd_clinical_waste_bags,ipc_wcd_laundry_receptacles_at_patient_rooms,ipc_wcd_incinerator,ipc_wash_clean_running_water,ipc_wash_hand_soap,ipc_wash_liquid_soap,ipc_wash_disp_hand_towels,ipc_wash_alcohol_based_hand_gel,ipc_ds_protocol_facility_disinfection,ipc_ds_protocol_equipment_sterilisation,ipc_ds_environmental_disinfectant,ipc_ds_cleaning_schedule_in_toilets,ipc_ds_protocol_corpse_handling,log_referral_plan,log_cellphone_landline_swradio,log_tracer_drugs,log_albendazole,log_amoxicillin,log_ampicillin,log_chlorhexidine_5,log_chlorhexidine_7,log_gentamicin,log_folic,log_ferrous_and_folic,log_compound_sodium,log_co_trimoxazole_400,log_co_trimoxazole_200,log_metronidazole_250,log_metronidazole_200,log_methyldopa,log_magnesium_sulphate,log_lidocaine,log_ibuprofen,log_surgical_spirit,log_sodium_chloride,log_povidone,log_paracetamol_500,log_paracetamol_250,log_ors,log_gauze,log_cotton_wool,log_cannula_iv_20,log_cannula_iv_24,log_zinc_sulphate,log_water,log_needle_23,log_needle_21,log_glove_giving,log_glove_surgical,log_glove_gyn,log_glove_exam,log_tape,log_syringe,log_oxytocin,log_diazepam,log_misoprostol,log_glucose,consultations.head_count.monthly_average_head_counts,consultations.general_outpatient.monthly_average_general_outpatient,consultations.deliveries.monthly_average_deliveries,consultations.pent_vaccines.monthly_average_pent_vaccines,score_human_resources,score_max_human_resources,score_information_education_communication,score_max_information_education_communication,score_surveillance,score_max_surveillance,score_triage_and_early_recognition,score_max_triage_and_early_recognition,score_chw,score_max_chw,score_isolation,score_max_isolation,score_infection_prevention_and_control_ppe,score_max_infection_prevention_and_control_ppe,score_infection_prevention_and_control_ppe_plan,score_max_infection_prevention_and_control_ppe_plan,score_infection_prevention_and_control_waste_collection_and_disposal,score_max_infection_prevention_and_control_waste_collection_and_disposal,score_infection_prevention_and_control_water_sanitation_and_hygiene,score_max_infection_prevention_and_control_water_sanitation_and_hygiene,score_infection_prevention_and_control_disinfection_and_sterilization,score_max_infection_prevention_and_control_disinfection_and_sterilization,score_infection_prevention_and_control,score_max_infection_prevention_and_control,question1.score_logistics_patient_and_sample_transfer,question1.score_max_logistics_patient_and_sample_transfer,score_total,score_max_total,type_clinic,type_community_health_centre,type_community_health_post,type_mch_post,type_<NA>,manage_government_public,manage_other,manage_private_for_profit,manage_<NA>,setting_peri_urban,setting_rural,setting_slum,setting_urban,setting_<NA>
0,WILLIAM HOSPITAL,60.234598,-90.157892,SOUTHERN,PUJEHUN,NEW YORK,JASONFORT,,,True,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,4,0,TBA,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,221,225,304,217,144,151,158,145,19,20,21,18,12,10,18,20,0,2,0,0,2,False,True,True,True,True,True,True,2,2,2,2,2,0,2,2,0,0,0,1,2,0,0,0,2,2,0,0,0,0,1,1,1,0,1,2,2,0,0,0,0,1,0,2,2,2,2,0,2,0,0,2,0,0,0,0,1,0,2,0,0,0,1,2,2,0,2,2,2,0,1,1,0,2,0,0,1,2,0,2,1,2,0,0,0,2,2,0,2,2,1,2,0,2,2,0,0,0,241.75,149.5,19.5,15.0,2.0,5.0,6.0,7.0,4.0,4.0,3.0,5.0,1.5,6.0,2.0,4.0,3.0,9.0,1.0,4.0,1.5,4.0,4.0,5.0,1.0,5.0,10.5,27.0,19.5,44.0,48.5,102.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
1,KATHRYN HOSPITAL/CHC,21.2454855,-107.50912,SOUTHERN,BO,ARIZONA,WEST JAMESSHIRE,,,True,1,1,2,0,0,0,0,1,0,0,0,2,2,0,0,2,2,0,0,13,5,CHWs,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,270,238,245,269,178,155,171,182,15,15,17,16,18,16,19,16,0,1,0,0,2,False,True,True,False,False,False,True,1,0,2,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,1,0,2,0,1,1,2,0,1,0,0,1,2,0,1,0,2,2,2,1,0,1,2,0,0,2,1,2,0,0,1,2,0,2,2,0,0,2,2,2,2,2,0,0,255.5,171.5,15.75,17.25,1.5,5.0,3.0,7.0,2.5,4.0,0.5,5.0,1.0,6.0,0.5,4.0,3.0,9.0,0.0,4.0,1.0,4.0,1.5,5.0,0.0,5.0,5.5,27.0,21.0,44.0,35.5,102.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
2,JESSICA HOSPITAL,-0.178657,-9.190029,SOUTHERN,BO,NEW MEXICO,ROBERTSSIDE,,,True,2,1,1,1,0,0,0,0,0,1,0,2,0,0,0,2,2,2,1,18,3,CHWs,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,748,604,405,576,466,474,338,418,9,13,7,7,18,22,24,15,0,2,1,1,2,True,False,True,False,False,True,True,1,0,2,2,0,0,0,1,0,0,0,,1,1,0,0,0,1,1,1,2,2,2,1,2,0,1,0,2,0,0,0,,2,0,1,2,0,2,0,0,0,0,0,0,0,1,0,1,2,0,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,2,0,0,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,583.25,424.0,9.0,19.75,3.0,5.0,4.0,7.0,2.5,4.0,0.5,5.0,1.0,6.0,1.0,4.0,5.5,9.0,1.0,4.0,1.5,4.0,2.0,5.0,0.0,5.0,10.0,27.0,33.5,44.0,55.5,102.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
3,LAUREN CHC,35.856989,-87.51279,SOUTHERN,BONTHE,MISSOURI,PORT CHRISTOPHER,,,False,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,79,93,101,21,144,88,101,121,7,5,11,3,5,5,6,7,0,1,1,0,0,True,False,False,False,False,False,False,2,0,2,2,0,0,2,2,0,1,1,1,1,1,0,0,2,0,2,2,0,2,2,0,2,0,1,2,1,0,0,0,0,0,0,0,2,2,2,0,2,0,2,2,0,0,2,2,2,2,2,0,2,2,2,0,0,2,2,0,2,0,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,0,2,0,73.5,113.5,6.5,5.75,1.0,5.0,1.0,7.0,3.0,4.0,2.0,5.0,2.0,6.0,2.0,4.0,5.5,9.0,0.5,4.0,0.0,4.0,4.0,5.0,2.0,5.0,12.0,27.0,34.5,44.0,57.5,102.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
4,,22.8567535,19.26241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,23,23,23,45,85,85,84,86,36,35,12,58,120,125,639,588,1,0,2,1,0,False,False,True,True,False,True,False,2,1,1,2,,,,,,1,1,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5,85.0,35.25,368.0,2.0,5.0,3.0,7.0,3.0,4.0,,,3.5,,0.0,4.0,0.0,9.0,0.0,4.0,0.0,4.0,0.0,5.0,0.0,5.0,0.0,27.0,,,,,0,0,0,0,1,0,0,0,1,0,0,0,0,1
5,BRYAN CLINIC,61.8040035,28.191714,SOUTHERN,PUJEHUN,MICHIGAN,ADAMMOUTH,,,True,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,2,1,TBA,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,358,308,452,267,128,144,124,137,15,13,13,17,20,19,20,19,2,1,1,1,2,True,True,True,True,True,True,True,2,2,2,2,1,0,2,2,0,1,1,2,2,2,0,0,2,2,2,0,2,2,2,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,2,0,1,2,2,0,0,0,2,0,0,2,0,0,2,0,2,2,0,2,0,2,2,2,0,2,0,1,2,0,0,0,0,0,2,0,2,2,2,2,2,0,0,0,346.25,133.25,14.5,19.5,3.5,5.0,7.0,7.0,4.0,4.0,2.5,5.0,3.5,6.0,3.0,4.0,4.5,9.0,1.0,4.0,0.0,4.0,1.0,5.0,2.0,5.0,8.5,27.0,21.0,44.0,53.0,102.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
6,CHERYL HOSPITAL/CHC,86.9708915,173.527045,SOUTHERN,BONTHE,NEVADA,BRYANCHESTER,,,False,1,2,2,1,0,0,0,1,1,0,0,1,1,0,0,2,2,2,0,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,293,304,345,190,166,178,190,163,7,0,10,18,14,18,22,15,2,1,1,0,0,True,False,False,True,False,False,False,2,0,2,2,2,0,2,2,2,1,1,1,1,1,0,0,2,2,2,0,0,0,0,0,1,0,0,0,1,0,0,2,2,0,0,0,2,2,2,0,0,0,2,0,0,0,2,2,2,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,2,1,0,1,283.0,174.25,8.75,17.25,2.0,5.0,2.0,7.0,3.0,4.0,4.0,5.0,2.0,6.0,3.0,4.0,0.5,9.0,1.5,4.0,1.0,4.0,3.0,5.0,1.0,5.0,7.0,27.0,15.0,44.0,38.0,102.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
7,BRANDI HOSPITAL,77.8973365,70.112618,SOUTHERN,MOYAMBA,FLORIDA,PORT KRISTINVILLE,,,True,2,2,2,2,2,2,2,1,1,1,1,1,1,0,0,2,1,1,1,1,1,Lab assistant technician,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,431,457,329,345,196,177,146,140,11,11,8,9,21,11,19,16,2,2,1,1,1,True,True,True,True,False,True,True,1,0,0,2,2,2,2,2,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,0,1,1,2,1,0,1,2,2,2,2,2,2,1,1,0,1,2,2,2,2,2,2,0,0,2,2,2,2,0,0,0,0,2,2,0,2,0,2,0,2,0,2,2,2,2,0,2,0,2,2,2,2,2,0,0,2,2,2,2,0,0,2,2,0,0,390.5,164.75,9.75,16.75,3.5,5.0,6.0,7.0,1.5,4.0,4.0,5.0,2.5,6.0,3.5,4.0,7.0,9.0,2.0,4.0,4.0,4.0,2.5,5.0,4.0,5.0,19.5,27.0,25.0,44.0,65.5,102.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
8,MICHAEL REGIONAL HOSPITAL,-24.700264,79.460077,NORTHERN,KOINADUGU,ARKANSAS,SOUTH ADAM,,,True,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,4,TBA,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,168,215,181,252,127,87,114,101,5,6,10,5,14,11,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,0,0,0,1,0,0,0,2,0,0,0,0,2,0,2,1,2,1,2,0,2,0,2,2,0,1,2,0,0,2,0,0,0,2,1,0,2,0,0,204.0,107.25,6.5,11.0,0.0,5.0,0.0,7.0,0.0,4.0,0.0,5.0,0.0,6.0,0.0,4.0,0.0,9.0,0.0,4.0,0.0,4.0,0.0,5.0,0.0,5.0,0.0,27.0,17.0,44.0,17.0,102.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
9,MICHAEL HOSPITAL,21.108351,-60.06817,NORTHERN,KOINADUGU,GEORGIA,HARRISBURGH,,,True,3,6,2,1,1,0,0,0,0,1,1,1,1,1,1,2,2,2,2,6,6,TBA,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,1,2,3,4,1,2,3,4,1,2,5,5,1,2,2,3,0,2,1,0,2,True,True,True,True,True,True,True,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,1,2,2,0,0,2,2,2,2,0,2,2,2,1,2,2,2,2,0,2,2,2,1,2,2,2,0,2,2,2,2,1,0,2,2,0,0,2,0,0,0,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,0,2.5,2.5,3.25,2.0,2.5,5.0,7.0,7.0,4.0,4.0,4.0,5.0,5.0,6.0,3.0,4.0,6.5,9.0,3.0,4.0,3.5,4.0,4.0,5.0,3.5,5.0,20.5,27.0,30.5,44.0,76.5,102.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
